LConfiguration,LTerm,LTerm (atlas),LJ,LLevel,UConfiguration,UTerm,UTerm (atlas),UJ,ULevel,Wavelength,log gf (DREAM),gf (DREAM),gf (atlas),A DREAM,A atlas,CF,Disagreement
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,,4.5,33052.29,,,,3.5,88297.00,1810.141,-3.74,0.000,,0.05,,0.000,
4f14.6s,2S,,0.5,0.00,4f13.(2F*<7/2>).5d2.(1D),1[3/2]*,,1.5,55221.46,1810.890,-1.85,0.014,,7.18,,0.235,
4f13.(2F*<7/2>).5d.6s.(1D),1[3/2]*,,1.5,34575.37,4f13.(2F*<5/2>).5d.6p.(1P*<1>),"(5/2,1)",,2.5,89713.17,1813.638,-3.19,0.001,,0.22,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,1.5,32981.59,,,,1.5,88101.00,1814.245,-2.97,0.001,,0.54,,0.001,
4f14.6p,2P*,,0.5,27061.82,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,0.5,82091.32,1817.207,-1.43,0.037,,37.90,,0.044,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3D*<2>),"(5/2,2)",2F2.5 3D2.0,3.5,76323.49,1821.336,-1.87,0.013,0.026,3.40,5.346,0.065,-0.197
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,2.5,26759.02,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,81657.13,1821.556,-3.92,0.000,,0.04,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,,3.5,33494.68,,,,3.5,88297.00,1824.754,-3.60,0.000,,0.06,,0.000,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",2F2.5 3D2.0,2.5,76170.25,1826.434,-1.08,0.083,0.011,27.67,2.999,0.200,0.965
4f14.6p,2P*,,0.5,27061.82,4f13.(2F*<5/2>).5d.6p.(3P*<1>),"(5/2,1)",,1.5,81512.62,1836.520,-3.37,0.000,,0.21,,0.002,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,0.5,33653.86,,,,1.5,88101.00,1836.645,-2.22,0.006,,2.95,,0.005,
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3F*<3>),"(5/2,3)",,3.5,75640.06,1844.293,-2.83,0.001,,0.37,,0.012,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(1D*<2>),"(5/2,2)",2F2.5 1D2.0,2.5,75550.94,1847.330,-1.08,0.083,0.225,27.17,59.962,0.199,-0.344
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,,2.5,34389.76,,,,3.5,88297.00,1855.052,-2.31,0.005,,1.18,,0.008,
4f13.(2F*<7/2>).5d.6s.(3D),3[7/2]*,,2.5,34389.76,,,,1.5,88101.00,1861.809,-2.50,0.003,,1.52,,0.002,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,2F3.5 3D1.5,1.5,28757.98,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",2F2.5 3P1.0,1.5,82398.98,1864.246,-1.96,0.011,0.038,5.20,7.458,0.010,-0.157
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3D*<1>),"(5/2,1)",2F2.5 3D1.0,2.5,75058.11,1864.303,-2.27,0.005,0.020,1.72,5.233,0.088,-0.484
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3F*<3>),,2F2.5 1D2.0,3.5,74973.41,1867.251,-1.73,0.019,0.028,4.43,5.478,0.087,-0.093
4f13.(2F*<7/2>).5d.6s.(1D),1[3/2]*,,1.5,34575.37,,,,1.5,88101.00,1868.266,-2.65,0.002,,1.07,,0.002,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,2F3.5 3D1.5,1.5,28757.98,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",2F2.5 3F2.0,0.5,82091.32,1875.000,-3.49,0.000,0.025,0.31,9.701,0.000,-1.500
4f13.(2F*<7/2>).5d.6s.(3D),3[9/2]*,,4.5,35019.13,,,,3.5,88297.00,1876.966,-3.97,0.000,,0.03,,0.000,
4f13.(2F*).6s2,2F*,,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3D*<2>),"(5/2,2)",,4.5,74568.58,1881.474,-3.08,0.001,,0.16,,0.005,
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,,4.5,30224.33,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,3.5,83363.88,1881.838,-3.74,0.000,,0.04,,0.000,
4f14.6s,2S,2S,0.5,0.00,4f13.(2F*<7/2>).5d2.(1G),1[3/2]*,2F3.5 1G1.5,1.5,52987.76,1887.228,-2.13,0.007,0.019,3.48,1.819,0.153,0.281
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,2.5,26759.02,4f13.(2F*<7/2>).5d.6p.(1P*<1>),"(7/2,1)",,3.5,79628.71,1891.443,-2.84,0.001,,0.34,,0.013,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3F*<3>),"(5/2,3)",2F2.5 3F3.0,2.5,74270.48,1892.086,-1.73,0.019,0.028,5.73,7.113,0.129,-0.094
4f14.6p,2P*,,0.5,27061.82,,,,0.5,79860.00,1893.988,-2.60,0.003,,2.36,,0.019,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,1.5,28757.98,4f13.(2F*<5/2>).5d.6p.(3P*<1>),"(5/2,1)",,1.5,81512.62,1895.568,-2.88,0.001,,0.61,,0.005,
4f13.(2F*<7/2>).5d.6s.(1D),1[5/2]*,,2.5,37077.59,4f13.(2F*<5/2>).5d.6p.(1P*<1>),"(5/2,1)",,2.5,89713.17,1899.856,-2.54,0.003,,0.90,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,1.5,28757.98,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",,2.5,81312.65,1902.780,-3.20,0.001,,0.19,,0.001,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(3D*<1>),"(5/2,1)",2F2.5 3D1.0,3.5,73966.81,1903.020,-1.92,0.012,0.022,2.76,4.144,0.047,-0.176
4f14.6p,2P*,,0.5,27061.82,4f13.(2F*<5/2>).5d.6p.(3P*<1>),,,1.5,79605.95,1903.162,-1.78,0.017,,7.58,,0.075,
4f14.6p,2P*,,1.5,30392.23,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,2.5,82891.80,1904.778,-2.52,0.003,,0.92,,0.002,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<5/2>).5d.6p.(1D*<2>),,2F2.5 1D2.0,4.5,73750.90,1910.871,-0.72,0.191,0.386,35.00,57.684,0.243,-0.217
4f13.(2F*<7/2>).5d.6s.(1D),1[7/2]*,,3.5,37516.59,4f13.(2F*<5/2>).5d.6p.(1P*<1>),"(5/2,1)",,2.5,89713.17,1915.834,-3.58,0.000,,0.08,,0.000,
4f14.6s,2S,,0.5,0.00,4f13.(2F*<7/2>).5d2.(1G),1[1/2]*,,0.5,52067.87,1920.570,-2.53,0.003,,2.67,,0.096,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,2.5,26759.02,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",,2.5,78814.86,1921.014,-3.82,0.000,,0.05,,0.001,
4f14.6p,2P*,2P,1.5,30392.23,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",2F2.5 3P1.0,1.5,82398.98,1922.827,-1.05,0.089,0.199,39.50,36.713,0.065,0.032
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<7/2>).5d.6p.(1F*<3>),"(7/2,3)",2F3.5 1F3.0,4.5,73283.35,1928.097,-0.95,0.112,0.195,20.10,28.623,0.234,-0.154
4f13.(2F*).6s2,2F*,2F2.5 1S2.5,2.5,31568.08,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",2F2.5 1F3.0,3.5,83363.88,1930.658,-0.79,0.162,0.316,35.88,43.369,0.172,-0.082
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,2.5,26759.02,4f13.(2F*<5/2>).5d.6p.(1F*<3>),,,1.5,78464.76,1934.021,-3.99,0.000,,0.05,,0.000,
4f14.6p,2P*,2P,1.5,30392.23,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",2F2.5 3F2.0,0.5,82091.32,1934.270,-2.00,0.010,0.182,8.85,66.361,0.007,-0.875
4f13.(2F*<7/2>).5d.6s.(3D),3[11/2]*,,4.5,30224.33,4f13.(2F*<5/2>).5d.6p.(3P*<2>),"(5/2,2)",,3.5,81692.92,1942.933,-3.62,0.000,,0.05,,0.000,
4f14.6p,2P*,,0.5,27061.82,4f13.(2F*<5/2>).5d.6p.(1F*<3>),,,1.5,78464.76,1945.414,-1.67,0.021,,9.40,,0.095,
4f13.(2F*).6s2,2F*,2F3.5 1S3.5,3.5,21418.75,4f13.(2F*<7/2>).5d.6p.(1F*<3>),"(7/2,3)",2F3.5 1F3.0,3.5,72779.99,1946.993,-2.11,0.008,0.020,1.70,3.599,0.030,-0.326
4f13.(2F*).6s2,2F*,,2.5,31568.08,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,2.5,82891.80,1948.417,-1.89,0.013,,3.83,,0.050,
4f14.6p,2P*,,1.5,30392.23,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,81657.13,1950.652,-3.69,0.000,,0.06,,0.000,
4f13.(2F*<7/2>).5d.6s.(1D),1[5/2]*,,2.5,37077.59,,,,3.5,88297.00,1952.400,-2.08,0.008,,1.83,,0.013,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,2.5,26759.02,4f13.(2F*<5/2>).5d.6p.(3F*<4>),"(5/2,4)",,3.5,77882.04,1956.066,-3.50,0.000,,0.07,,0.002,
4f14.6p,2P*,2P,1.5,30392.23,4f13.(2F*<5/2>).5d.6p.(3P*<1>),"(5/2,1)",2F2.5 3P2.0,1.5,81512.62,1956.167,-1.86,0.014,0.025,6.05,4.456,0.057,0.133
4f13.(2F*<7/2>).5d.6s.(1D),1[5/2]*,,2.5,37077.59,,,,1.5,88101.00,1959.887,-2.44,0.004,,1.56,,0.002,
4f13.(2F*<7/2>).5d.6s.(3D),3[5/2]*,,2.5,32371.10,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",,3.5,83363.88,1961.062,-3.06,0.001,,0.19,,0.001,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,1.5,28757.98,4f13.(2F*<5/2>).5d.6p.(3P*<1>),,,1.5,79605.95,1966.647,-2.00,0.010,,4.30,,0.013,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,2.5,26759.02,4f13.(2F*<5/2>).5d.6p.(3F*<4>),,,2.5,77606.58,1966.663,-3.17,0.001,,0.19,,0.001,
4f14.6s,2S,,0.5,0.00,4f13.(2F*<7/2>).5d2.(3F),*,,1.5,50832.65,1967.240,-3.22,0.001,,0.26,,0.062,
4f13.(2F*).6s2,2F*,2F2.5 1S2.5,2.5,31568.08,4f13.(2F*<5/2>).5d.6p.(1F*<3>),"(5/2,3)",2F2.5 3P1.0,1.5,82398.98,1967.307,-2.55,0.003,0.020,1.20,5.287,0.020,-0.644
4f14.6p,2P*,,0.5,27061.82,4f13.(2F*<5/2>).5d.6p.(3D*<3>),"(5/2,3)",,0.5,77887.30,1967.517,-2.28,0.005,,4.48,,0.049,
4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,,1.5,28757.98,4f13.(2F*<5/2>).5d.6p.(3P*<0>),,,2.5,79583.11,1967.531,-3.92,0.000,,0.03,,0.001,
