4f13.(2F*<5/2>).5d.6s.(3D) 3[1/2]*1/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[9/2]*7/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[9/2]*9/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[9/2]*11/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[3/2]*5/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[3/2]*3/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[3/2]*1/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[5/2]*3/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[5/2]*5/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[5/2]*7/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[7/2]*5/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[7/2]*7/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) 3[7/2]*9/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(3D) *3/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d2.(3F) 3[5/2]*5/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d2.(3F) *7/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<5/2>).5d.6s.(1D) 1[9/2]*9/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d2.(3F) *3/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d2.(3F) 3[7/2]*9/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d2.(3F) 3[13/2]*11/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d2.(3F) 3[13/2]*13/2,0.0 gigahertz,0.0 hertz,0.0 hertz
4f13.(2F*<7/2>).5d2.(3F) 3[13/2]*15/2,0.0 gigahertz,0.0 hertz,0.0 hertz
